 						Playing Time 			Performance 							Per 90 Minutes	
Rk 	Player 	Pos 	Squad 	Age 	Born 	MP 	Starts 	Min 	90s 	Gls 	Ast 	G+A 	G-PK 	PK 	PKatt 	CrdY 	CrdR 	Gls 	Ast 	G+A 	G-PK 	G+A-PK 	Matches
1	Joel Waterman	DF	ca Canada	29	1996	3	2	214	2.4	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
2	Dayne St. Clair	GK	ca Canada	27	1997	3	3	270	3.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
3	Niko Sigur	MF,DF	ca Canada	21	2003	4	4	319	3.5	1	1	2	1	0	0	0	0	0.28	0.28	0.56	0.28	0.56	Matches
4	Jacob Shaffelburg	MF	ca Canada	25	1999	4	3	233	2.6	0	0	0	0	0	0	2	1	0.00	0.00	0.00	0.00	0.00	Matches
5	Nathan Saliba	MF	ca Canada	20	2004	3	2	200	2.2	2	0	2	2	0	0	0	0	0.90	0.00	0.90	0.90	0.90	Matches
6	Tani Oluwaseyi	FW	ca Canada	24	2000	3	3	230	2.6	1	1	2	1	0	0	0	0	0.39	0.39	0.78	0.39	0.78	Matches
7	Jayden Nelson	MF	ca Canada	22	2002	1	1	55	0.6	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
8	Kamal Miller	DF	ca Canada	27	1997	2	1	118	1.3	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
9	Richie Laryea	DF	ca Canada	30	1995	3	3	242	2.7	0	1	1	0	0	0	0	0	0.00	0.37	0.37	0.00	0.37	Matches
10	Cyle Larin	FW,MF	ca Canada	29	1995	4	0	79	0.9	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
11	Ismaël Koné	MF	ca Canada	22	2002	2	1	103	1.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
12	Jamie Knight-Lebel	DF	ca Canada	20	2004	1	0	14	0.2	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
13	Alistair Johnston	DF	ca Canada	26	1998	3	2	167	1.9	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
14	Daniel Jebbison	FW	ca Canada	21	2003	2	0	67	0.7	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
15	Luc De Fougerolles	DF	ca Canada	19	2005	3	3	228	2.5	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
16	Promise David	FW	ca Canada	23	2001	3	1	82	0.9	1	0	1	1	0	0	1	0	1.10	0.00	1.10	1.10	1.10	Matches
17	Jonathan David	FW,MF	ca Canada	25	2000	4	4	297	3.3	2	1	3	1	1	2	0	0	0.61	0.30	0.91	0.30	0.61	Matches
18	Maxime Crépeau	GK	ca Canada	30	1994	1	1	90	1.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
19	Derek Cornelius	DF	ca Canada	27	1997	2	2	146	1.6	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
20	Mathieu Choiniere	MF	ca Canada	25	1999	4	3	291	3.2	0	1	1	0	0	0	0	0	0.00	0.31	0.31	0.00	0.31	Matches
21	Tajon Buchanan	MF	ca Canada	25	1999	4	3	247	2.7	3	0	3	3	0	0	0	0	1.09	0.00	1.09	1.09	1.09	Matches
22	Zorhan Bassong	DF	ca Canada	25	1999	2	1	118	1.3	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
23	Ali Ahmed	MF	ca Canada	24	2000	2	1	104	1.2	0	1	1	0	0	0	0	0	0.00	0.87	0.87	0.00	0.87	Matches
188	Alexis Vega	FW,MF	mx Mexico	27	1997	6	5	455	5.1	1	1	2	1	0	0	0	0	0.20	0.20	0.40	0.20	0.40	Matches
189	Johan Vásquez	DF	mx Mexico	26	1998	5	5	435	4.8	0	1	1	0	0	0	0	0	0.00	0.21	0.21	0.00	0.21	Matches
190	Ángel Sepúlveda	FW,MF	mx Mexico	33	1991	1	0	19	0.2	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
191	Marcel Ruiz	MF	mx Mexico	24	2000	5	5	414	4.6	0	1	1	0	0	0	0	0	0.00	0.22	0.22	0.00	0.22	Matches
192	Charly Rodríguez	MF	mx Mexico	28	1997	3	0	79	0.9	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
193	Israel Reyes	DF	mx Mexico	24	2000	3	2	140	1.6	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
194	Julián Quiñones	FW	mx Mexico	27	1997	4	1	110	1.2	0	1	1	0	0	0	1	0	0.00	0.82	0.82	0.00	0.82	Matches
195	Orbelín Pineda	MF	mx Mexico	28	1996	4	1	68	0.8	0	1	1	0	0	0	0	0	0.00	1.32	1.32	0.00	1.32	Matches
196	Jesús Orozco	DF	mx Mexico	22	2002	3	0	43	0.5	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
197	Gilberto Mora	MF	mx Mexico	16	2008	3	3	222	2.5	0	1	1	0	0	0	0	0	0.00	0.41	0.41	0.00	0.41	Matches
198	César Montes	DF	mx Mexico	27	1997	5	5	442	4.9	3	0	3	3	0	0	3	0	0.61	0.00	0.61	0.61	0.61	Matches
199	Erik Lira	MF	mx Mexico	24	2000	3	2	181	2.0	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
200	Raúl Jiménez	FW	mx Mexico	33	1991	6	6	446	5.0	3	0	3	3	0	0	1	0	0.61	0.00	0.61	0.61	0.61	Matches
201	César Huerta	FW,MF	mx Mexico	24	2000	5	0	67	0.7	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
202	Santiago Giménez	FW	mx Mexico	23	2001	6	1	171	1.9	0	1	1	0	0	0	0	0	0.00	0.53	0.53	0.00	0.53	Matches
203	Jesús Gallardo	DF	mx Mexico	30	1994	5	4	350	3.9	0	0	0	0	0	0	2	0	0.00	0.00	0.00	0.00	0.00	Matches
204	Jorge Eduardo Sánchez	DF	mx Mexico	27	1997	3	3	265	2.9	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
205	Mateo Chávez	DF	mx Mexico	20	2004	3	2	170	1.9	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
206	Luis Chávez	MF	mx Mexico	29	1996	2	1	109	1.2	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
207	Julian Araujo	DF	mx Mexico	23	2001	2	2	180	2.0	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
208	Luis Ángel Malagón	GK	mx Mexico	27	1997	6	6	540	6.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
209	Edson Álvarez	MF,DF	mx Mexico	27	1997	6	6	540	6.0	2	1	3	2	0	0	0	0	0.33	0.17	0.50	0.33	0.50	Matches
210	Roberto Alvarado	MF,FW	mx Mexico	26	1998	6	6	494	5.5	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
313	Walker Zimmerman	DF	us United States	31	1993	1	0	6	0.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
314	Haji Wright	FW,MF	us United States	26	1998	1	0	18	0.2	1	0	1	1	0	0	0	0	5.00	0.00	5.00	5.00	5.00	Matches
315	Brian White	FW	us United States	28	1996	2	0	10	0.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
316	John Tolkin	DF	us United States	22	2002	4	1	116	1.3	0	1	1	0	0	0	0	0	0.00	0.78	0.78	0.00	0.78	Matches
