 						Playing Time		 	Performance 							Per 90 Minutes	
Rk 	Player 	Pos 	Squad 	Age 	Born 	MP 	Starts 	Min 	90s 	Gls 	Ast 	G+A 	G-PK 	PK 	PKatt 	CrdY 	CrdR 	Gls 	Ast 	G+A 	G-PK 	G+A-PK 	Matches
96	Kusini Yengi	FW	au Australia	27	1999	8	6	461	5.1	6	0	6	5	1	1	0	1	1.17	0.00	1.17	0.98	0.98	Matches
97	Patrick Yazbek	MF	au Australia	23	2002	4	1	202	2.2	0	1	1	0	0	0	1	0	0.00	0.45	0.45	0.00	0.45	Matches
98	Nishan Velupillay	FW	au Australia	24	2001	5	2	206	2.3	3	0	3	3	0	0	0	0	1.31	0.00	1.31	1.31	1.31	Matches
99	Mo Touré	FW	au Australia	21	2004	1	0	26	0.3	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
100	Marco Tilio	MF	au Australia	24	2001	1	0	14	0.2	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
101	Ryan Teague	MF	au Australia	24	2002	3	2	135	1.5	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
102	Adam Taggart	FW	au Australia	32	1993	5	3	227	2.5	1	1	2	1	0	0	0	0	0.40	0.40	0.79	0.40	0.79	Matches
103	Ryan Strain	DF	au Australia	28	1997	2	2	110	1.2	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
104	Apostolos Stamatelopoulos	FW	au Australia	26	1999	1	0	26	0.3	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
105	Harry Souttar	DF	au Australia	27	1998	11	11	990	11.0	2	0	2	2	0	0	1	0	0.18	0.00	0.18	0.18	0.18	Matches
106	Sam Silvera	MF	au Australia	25	2000	2	1	99	1.1	0	0	0	0	0	0	2	0	0.00	0.00	0.00	0.00	0.00	Matches
107	Mathew Ryan	GK	au Australia	33	1992	11	11	990	11.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
108	Kye Rowles	DF	au Australia	27	1998	8	7	631	7.0	1	0	1	1	0	0	2	0	0.14	0.00	0.14	0.14	0.14	Matches
109	Aiden O'Neill	MF	au Australia	27	1998	10	6	608	6.8	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
110	Joshua Nisbet	MF	au Australia	26	1999	3	0	90	1.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
111	Lewis Miller	MF,DF	au Australia	25	2000	10	9	786	8.7	2	1	3	2	0	0	0	0	0.23	0.11	0.34	0.23	0.34	Matches
112	Connor Metcalfe	MF,FW	au Australia	26	1999	9	8	664	7.4	1	2	3	1	0	0	1	0	0.14	0.27	0.41	0.14	0.41	Matches
113	Riley McGree	MF	au Australia	27	1998	7	4	390	4.3	0	1	1	0	0	0	1	0	0.00	0.23	0.23	0.00	0.23	Matches
114	Hayden Matthews	DF	au Australia	21	2004	1	1	90	1.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
115	Jamie Maclaren	FW	au Australia	32	1993	2	0	46	0.5	3	0	3	3	0	0	0	0	5.87	0.00	5.87	5.87	5.87	Matches
116	Awer Mabil	FW,MF	au Australia	30	1995	2	0	41	0.5	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
117	Massimo Luongo	MF	au Australia	33	1992	1	0	45	0.5	0	0	0	0	0	1	0	0	0.00	0.00	0.00	0.00	0.00	Matches
118	Mathew Leckie	MF	au Australia	34	1991	1	1	82	0.9	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
119	Fran Karačić	DF	au Australia	29	1996	2	0	34	0.4	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
120	Gethin Jones	MF,DF	au Australia	30	1995	2	2	171	1.9	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
121	Jackson Irvine	MF	au Australia	32	1993	14	14	1,172	13.0	3	1	4	3	0	0	1	0	0.23	0.08	0.31	0.23	0.31	Matches
122	John Iredale	FW	au Australia	26	1999	2	0	49	0.5	1	0	1	1	0	0	0	0	1.84	0.00	1.84	1.84	1.84	Matches
123	Nestory Irankunda	FW	au Australia	19	2006	5	3	220	2.4	1	0	1	0	1	1	0	0	0.41	0.00	0.41	0.00	0.00	Matches
124	Ajdin Hrustic	MF	au Australia	29	1996	7	4	308	3.4	0	1	1	0	0	0	0	0	0.00	0.29	0.29	0.00	0.29	Matches
125	Craig Goodwin	MF,FW	au Australia	34	1991	9	7	581	6.5	3	6	9	3	0	0	2	0	0.46	0.93	1.39	0.46	1.39	Matches
126	Jason Geria	DF	au Australia	32	1993	8	5	546	6.1	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
127	Joe Gauci	GK	au Australia	25	2000	5	5	450	5.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
128	Mitchell Duke	FW	au Australia	35	1991	13	9	737	8.2	3	1	4	3	0	0	0	0	0.37	0.12	0.49	0.37	0.49	Matches
129	Cammy Devlin	MF	au Australia	27	1998	2	0	22	0.2	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
130	Thomas Deng	DF	au Australia	28	1997	2	1	54	0.6	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
131	Miloš Degenek	DF	au Australia	31	1994	4	3	274	3.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
132	Alessandro Circati	DF	au Australia	22	2003	4	4	360	4.0	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
