Rk 	Player 	Pos 	Squad 	Age 	Born 	MP 	Starts 	Min 	90s 	Gls 	Ast 	G+A 	G-PK 	PK 	PKatt 	CrdY 	CrdR 	Gls 	Ast 	G+A 	G-PK 	G+A-PK 	Matches
183	Yoane Wissa	MF,FW	cd Congo DR	29	1996	8	8	560	6.2	3	2	5	3	0	0	0	0	0.48	0.32	0.80	0.48	0.80	Matches
184	Aaron Wan-Bissaka	DF,MF	cd Congo DR	28	1997	6	6	549	6.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
185	Axel Tuanzebe	DF	cd Congo DR	28	1997	5	5	480	5.3	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
186	Aaron Tshibola	MF	cd Congo DR	31	1995	3	1	90	1.0	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
187	Noah Sadiki	MF	cd Congo DR	21	2004	5	4	373	4.1	0	1	1	0	0	0	0	0	0.00	0.24	0.24	0.00	0.24	Matches
188	Charles Pickel	MF	cd Congo DR	28	1997	11	7	575	6.4	1	0	1	1	0	0	0	0	0.16	0.00	0.16	0.16	0.16	Matches
189	Jackson Muleka	FW,MF	cd Congo DR	26	1999	1	0	27	0.3	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
190	Ngal'Ayel Mukau	MF	cd Congo DR	21	2004	4	2	174	1.9	0	1	1	0	0	0	0	0	0.00	0.52	0.52	0.00	0.52	Matches
191	Lionel Mpasi	GK	cd Congo DR	31	1994	6	6	569	6.3	0	1	1	0	0	0	0	0	0.00	0.16	0.16	0.00	0.16	Matches
192	Samuel Moutoussamy	MF	cd Congo DR	29	1996	11	11	1,019	11.3	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
193	Nathanael Mbuku	MF,FW	cd Congo DR	23	2002	6	4	357	4.0	1	0	1	1	0	0	0	0	0.25	0.00	0.25	0.25	0.25	Matches
194	Chancel Mbemba	DF	cd Congo DR	31	1994	12	12	1,110	12.3	1	1	2	1	0	0	1	0	0.08	0.08	0.16	0.08	0.16	Matches
195	Fiston Mayele	FW	cd Congo DR	31	1994	11	1	239	2.7	2	1	3	2	0	0	1	0	0.75	0.38	1.13	0.75	1.13	Matches
196	Arthur Masuaku	DF,MF	cd Congo DR	32	1993	7	7	646	7.2	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
197	Joris Kayembe	DF	cd Congo DR	31	1994	9	6	571	6.3	0	1	1	0	0	0	1	0	0.00	0.16	0.16	0.00	0.16	Matches
198	Edo Kayembe	MF,FW	cd Congo DR	27	1998	10	5	580	6.4	0	2	2	0	0	0	0	0	0.00	0.31	0.31	0.00	0.31	Matches
199	Silas Katompa	MF	cd Congo DR	27	1998	3	1	80	0.9	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
200	Gedeon Kalulu	DF	cd Congo DR	28	1997	5	3	342	3.8	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
201	Gaël Kakuta	MF	cd Congo DR	34	1991	4	3	245	2.7	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
202	Baka Inonga	DF	cd Congo DR	31	1994	4	4	360	4.0	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
203	Timothy Fayulu	GK	cd Congo DR	26	1999	1	0	1	0.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
204	Samuel Essende	FW	cd Congo DR	28	1998	3	3	225	2.5	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
205	Meschak Elia	MF,FW	cd Congo DR	28	1997	11	7	636	7.1	2	0	2	2	0	0	2	0	0.28	0.00	0.28	0.28	0.28	Matches
206	Grady Diangana	MF	cd Congo DR	27	1998	3	1	90	1.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
207	Brian Cipenga	MF	cd Congo DR	27	1998	3	0	91	1.0	0	1	1	0	0	0	0	0	0.00	0.99	0.99	0.00	0.99	Matches
208	Rocky Bushiri	DF	cd Congo DR	26	1999	2	2	180	2.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
209	Theo Bongonda	MF,FW	cd Congo DR	30	1995	8	4	418	4.6	3	1	4	3	0	0	0	0	0.65	0.22	0.86	0.65	0.86	Matches
