 	                                        Playing Time 	                Performance 	                                                Per 90 Minutes	
Rk 	Player 	Pos 	Squad	Age 	Born 	MP 	Starts 	Min 	90s 	Gls 	Ast 	G+A 	G-PK 	PK 	PKatt 	CrdY 	CrdR 	Gls 	Ast 	G+A 	G-PK 	G+A-PK 	Matches
277	Joshua Zimmerman	MF	cw Curaçao	24	2001	2	0	27	0.3	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
278	Xander Severina	FW	cw Curaçao	24	2001	2	1	51	0.6	1	0	1	1	0	0	0	0	1.76	0.00	1.76	1.76	1.76	Matches
279	Shurandy Sambo	DF,MF	cw Curaçao	24	2001	6	6	540	6.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
280	Rayvien Rosario	MF	cw Curaçao	21	2004	2	0	57	0.6	0	2	2	0	0	0	0	0	0.00	3.16	3.16	0.00	3.16	Matches
281	Eloy Room	GK	cw Curaçao	36	1989	10	10	900	10.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
282	Godfried Roemeratoe	MF	cw Curaçao	26	1999	8	2	217	2.4	0	0	0	0	0	0	2	0	0.00	0.00	0.00	0.00	0.00	Matches
283	Jordi Paulina	FW	cw Curaçao	21	2004	2	0	46	0.5	2	0	2	1	1	1	0	0	3.91	0.00	3.91	1.96	1.96	Matches
284	Armando Obispo	DF	cw Curaçao	26	1999	4	4	342	3.8	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
285	Tyrese Noslin	MF	cw Curaçao	23	2002	3	0	65	0.7	1	0	1	1	0	0	0	0	1.38	0.00	1.38	1.38	1.38	Matches
286	Cuco Martina	DF	cw Curaçao	36	1989	3	1	112	1.2	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
287	Ar'jany Martha	DF,FW	cw Curaçao	22	2003	2	0	51	0.6	1	0	1	1	0	0	0	0	1.76	0.00	1.76	1.76	1.76	Matches
288	Nathan Markelo	DF	cw Curaçao	27	1999	1	1	90	1.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
289	Jearl Margaritha	FW,MF	cw Curaçao	25	2000	8	6	511	5.7	1	3	4	1	0	0	0	0	0.18	0.53	0.70	0.18	0.70	Matches
290	Jürgen Locadia	FW	cw Curaçao	32	1993	7	3	398	4.4	0	2	2	0	0	0	0	0	0.00	0.45	0.45	0.00	0.45	Matches
291	Brandley Kuwas	MF	cw Curaçao	33	1992	3	1	62	0.7	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
292	Gervane Kastaneer	FW	cw Curaçao	29	1996	6	4	224	2.5	5	0	5	5	0	0	2	0	2.01	0.00	2.01	2.01	2.01	Matches
293	Rangelo Janga	FW	cw Curaçao	33	1992	2	2	155	1.7	3	0	3	2	1	1	0	0	1.74	0.00	1.74	1.16	1.16	Matches
294	Sontje Hansen	FW	cw Curaçao	23	2002	3	3	215	2.4	1	0	1	1	0	0	1	0	0.42	0.00	0.42	0.42	0.42	Matches
295	Kenji Gorré	FW,MF	cw Curaçao	31	1994	8	7	630	7.0	3	3	6	3	0	0	0	0	0.43	0.43	0.86	0.43	0.86	Matches
296	Juriën Gaari	DF	cw Curaçao	32	1993	9	7	642	7.1	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
297	Sherel Floranus	DF,MF	cw Curaçao	27	1998	9	9	798	8.9	0	0	0	0	0	0	2	0	0.00	0.00	0.00	0.00	0.00	Matches
298	Kevin Felida	MF	cw Curaçao	26	1999	3	0	75	0.8	1	0	1	1	0	0	0	0	1.20	0.00	1.20	1.20	1.20	Matches
299	Roshon van Eijma	DF	cw Curaçao	27	1998	7	6	541	6.0	1	0	1	1	0	0	0	0	0.17	0.00	0.17	0.17	0.17	Matches
300	Livano Comenencia	MF	cw Curaçao	21	2004	8	7	527	5.9	1	1	2	1	0	0	1	0	0.17	0.17	0.34	0.17	0.34	Matches
301	Tahith Chong	MF	cw Curaçao	26	1999	2	1	116	1.3	2	1	3	2	0	0	0	0	1.55	0.78	2.33	1.55	2.33	Matches
302	Joshua Brenet	DF,MF	cw Curaçao	31	1994	6	5	468	5.2	0	2	2	0	0	0	0	0	0.00	0.38	0.38	0.00	0.38	Matches
303	Riechedly Bazoer	DF	cw Curaçao	29	1996	2	2	143	1.6	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
304	Leandro Bacuna	MF	cw Curaçao	34	1991	9	9	784	8.7	1	3	4	0	1	1	1	0	0.11	0.34	0.46	0.00	0.34	Matches
305	Juninho Bacuna	MF,FW	cw Curaçao	28	1997	10	10	827	9.2	3	2	5	3	0	0	1	0	0.33	0.22	0.54	0.33	0.54	Matches
306	Jeremy Antonisse	FW	cw Curaçao	23	2002	7	3	286	3.2	1	1	2	1	0	0	1	0	0.31	0.31	0.63	0.31	0.63	Matches
487	Keeto Thermoncy	DF	ht Haiti	19	2006	1	0	1	0.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
488	Mondy Prunier	FW	ht Haiti	26	1999	2	0	22	0.2	1	0	1	1	0	0	0	0	4.09	0.00	4.09	4.09	4.09	Matches
489	Ruben Providence	MF	ht Haiti	24	2001	7	4	415	4.6	2	1	3	2	0	0	0	0	0.43	0.22	0.65	0.43	0.65	Matches
490	Johny Placide	GK	ht Haiti	38	1988	8	8	720	8.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
491	Frantzdy Pierrot	FW	ht Haiti	30	1995	10	10	746	8.3	2	1	3	2	0	0	0	0	0.24	0.12	0.36	0.24	0.36	Matches
492	Leverton Pierre	MF	ht Haiti	27	1998	9	6	594	6.6	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
493	Alexandre Pierre	GK	ht Haiti	24	2001	1	1	90	1.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
494	Fafà Picault	MF,FW	ht Haiti	34	1991	4	4	304	3.4	0	1	1	0	0	0	0	0	0.00	0.30	0.30	0.00	0.30	Matches
495	Wilguens Paugain	DF	ht Haiti	24	2001	1	0	45	0.5	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
496	Woobens Pacius	FW	ht Haiti	24	2001	1	0	4	0.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
497	Duckens Nazon	FW	ht Haiti	31	1994	10	5	590	6.6	6	2	8	6	0	1	1	0	0.92	0.31	1.22	0.92	1.22	Matches
498	Téo Michel	MF	ht Haiti	21	2004	2	0	19	0.2	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
499	Garven Metusala	DF	ht Haiti	26	1999	2	2	135	1.5	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
500	Stéphane Lambèse	DF	ht Haiti	30	1995	2	0	15	0.2	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
501	Duke Lacroix	DF	ht Haiti	32	1993	8	8	720	8.0	1	2	3	1	0	0	0	0	0.12	0.25	0.37	0.12	0.37	Matches
502	Bryan Labissiere	MF	ht Haiti	28	1997	1	0	28	0.3	1	0	1	1	0	0	0	0	3.21	0.00	3.21	3.21	3.21	Matches
503	Belmar Joseph	MF	ht Haiti	20	2005	2	0	51	0.6	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
504	Danley Jean-Jacques	MF	ht Haiti	25	2000	9	8	755	8.4	2	3	5	2	0	0	2	0	0.24	0.36	0.60	0.24	0.60	Matches
505	Dany Jean	MF	ht Haiti	23	2002	2	1	54	0.6	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
506	Carl Fred Sainté	MF	ht Haiti	23	2002	5	2	119	1.3	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
507	Yassin Fortune	FW	ht Haiti	27	1999	2	1	78	0.9	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
508	Martin Expérience	DF	ht Haiti	26	1999	4	2	217	2.4	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
509	Derrick Etienne	MF	ht Haiti	29	1996	3	2	132	1.5	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
510	Jean-Kevin Duverne	DF	ht Haiti	28	1997	7	7	630	7.0	1	0	1	1	0	0	0	0	0.14	0.00	0.14	0.14	0.14	Matches
511	Josué Duverger	GK	ht Haiti	25	2000	1	1	90	1.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
512	François Dulysse	DF	ht Haiti	26	1999	1	0	1	0.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
513	Hannes Delcroix	DF	ht Haiti	26	1999	3	2	225	2.5	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
514	Louicius Deedson	FW,MF	ht Haiti	24	2001	10	5	424	4.7	4	0	4	4	0	0	0	0	0.85	0.00	0.85	0.85	0.85	Matches
515	Josué Casimir	MF	ht Haiti	24	2001	4	4	320	3.6	0	1	1	0	0	0	0	0	0.00	0.28	0.28	0.00	0.28	Matches
516	Mikaël Cantave	MF	ht Haiti	29	1996	2	0	50	0.6	0	1	1	0	0	0	0	0	0.00	1.80	1.80	0.00	1.80	Matches
517	Jean-Ricner Bellegarde	MF	ht Haiti	27	1998	6	6	524	5.8	0	1	1	0	0	0	1	0	0.00	0.17	0.17	0.00	0.17	Matches
518	Christopher Attys	MF	ht Haiti	24	2001	6	2	134	1.5	0	0	0	0	0	0	2	0	0.00	0.00	0.00	0.00	0.00	Matches
519	Carlens Arcus	DF	ht Haiti	29	1996	9	9	749	8.3	0	1	1	0	0	0	3	0	0.00	0.12	0.12	0.00	0.12	Matches
520	Ricardo Adé	DF	ht Haiti	35	1990	10	10	899	10.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
694	Édgar Yoel Bárcenas	MF	pa Panama	32	1993	6	5	402	4.5	0	1	1	0	0	0	0	0	0.00	0.22	0.22	0.00	0.22	Matches
695	César Yanis	MF	pa Panama	30	1996	3	2	225	2.5	1	0	1	1	0	0	0	0	0.40	0.00	0.40	0.40	0.40	Matches
696	Jovani Welch	MF	pa Panama	26	1999	2	1	53	0.6	1	0	1	1	0	0	0	0	1.70	0.00	1.70	1.70	1.70	Matches
697	Cecilio Waterman	FW	pa Panama	34	1991	8	5	324	3.6	2	0	2	2	0	0	0	0	0.56	0.00	0.56	0.56	0.56	Matches
698	Everardo Rose	FW	pa Panama	26	1999	1	0	7	0.1	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
699	Tomas Rodriguez	FW	pa Panama	26	1999	3	1	113	1.3	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
700	Jiovany Ramos	DF	pa Panama	29	1997	2	1	150	1.7	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
701	Alberto Quintero	FW,MF	pa Panama	38	1987	2	0	31	0.3	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
702	Orlando Mosquera	GK	pa Panama	31	1994	6	6	540	6.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
703	Janpol Morales	MF	pa Panama	27	1998	2	1	71	0.8	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
704	Roderick Miller	DF	pa Panama	33	1992	1	1	45	0.5	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
705	Luis Mejía	GK	pa Panama	34	1991	4	4	360	4.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
706	Cristian Martínez	MF	pa Panama	28	1997	8	6	481	5.3	1	0	1	1	0	0	2	0	0.19	0.00	0.19	0.19	0.19	Matches
707	José Luis Rodríguez	MF	pa Panama	27	1998	9	5	502	5.6	3	1	4	3	0	0	2	0	0.54	0.18	0.72	0.54	0.72	Matches
708	Azarias Londoño	MF	pa Panama	24	2001	4	2	189	2.1	0	2	2	0	0	0	0	0	0.00	0.95	0.95	0.00	0.95	Matches
709	Carlos Harvey	DF,MF	pa Panama	25	2000	6	4	414	4.6	1	1	2	1	0	0	0	0	0.22	0.22	0.43	0.22	0.43	Matches
710	Jorge Gutiérrez	DF	pa Panama	27	1998	5	2	221	2.5	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
711	Eduardo Guerrero	FW	pa Panama	25	2000	3	2	154	1.7	1	1	2	1	0	0	0	0	0.58	0.58	1.17	0.58	1.17	Matches
712	Victor Griffith	MF	pa Panama	25	2000	1	1	90	1.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
713	Freddy Góndola	MF	pa Panama	30	1995	1	0	11	0.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
714	Aníbal Godoy	MF	pa Panama	35	1990	8	7	540	6.0	0	0	0	0	0	0	4	0	0.00	0.00	0.00	0.00	0.00	Matches
715	Edgardo Fariña	DF	pa Panama	24	2001	2	1	107	1.2	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
716	José Fajardo	FW	pa Panama	32	1993	8	3	401	4.5	3	0	3	3	0	0	0	0	0.67	0.00	0.67	0.67	0.67	Matches
717	Fidel Escobar	DF	pa Panama	31	1995	8	8	703	7.8	1	0	1	1	0	0	0	0	0.13	0.00	0.13	0.13	0.13	Matches
718	Ismael Díaz	MF	pa Panama	28	1997	6	5	413	4.6	2	0	2	2	0	0	0	0	0.44	0.00	0.44	0.44	0.44	Matches
719	Erick Davis	DF,MF	pa Panama	34	1991	9	7	622	6.9	2	2	4	1	1	1	1	0	0.29	0.29	0.58	0.14	0.43	Matches
720	José Cordoba	DF	pa Panama	24	2001	4	4	281	3.1	0	0	0	0	0	0	2	0	0.00	0.00	0.00	0.00	0.00	Matches
721	Edward Cedeño	MF	pa Panama	22	2003	4	1	97	1.1	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
722	Adalberto Carrasquilla	MF	pa Panama	27	1998	8	7	649	7.2	0	1	1	0	0	0	1	0	0.00	0.14	0.14	0.00	0.14	Matches
723	Omar Browne	FW	pa Panama	31	1994	2	0	20	0.2	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
724	César Blackman	MF,DF	pa Panama	27	1998	5	3	283	3.1	1	0	1	1	0	0	0	0	0.32	0.00	0.32	0.32	0.32	Matches
725	Abdiel Ayarza	MF	pa Panama	33	1992	1	0	6	0.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
726	Andrés Andrade Cedeño	DF	pa Panama	27	1998	7	7	630	7.0	0	1	1	0	0	0	0	0	0.00	0.14	0.14	0.00	0.14	Matches
727	Eduardo Anderson	DF	pa Panama	25	2001	1	1	90	1.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
728	Michael Amir Murillo	DF,MF	pa Panama	29	1996	8	7	675	7.5	0	3	3	0	0	0	0	0	0.00	0.40	0.40	0.00	0.40	Matches
