 	                                        Playing Time 	                Performance 	                                                Per 90 Minutes	
Rk 	Player 	Pos 	Squad Age 	Born 	MP 	Starts 	Min 	90s 	Gls 	Ast 	G+A 	G-PK 	PK 	PKatt 	CrdY 	CrdR 	Gls 	Ast 	G+A 	G-PK 	G+A-PK 	Matches
1	Nicolás Tagliafico	DF	ar Argentina	33	1992	15	14	1,246	13.8	1	1	2	1	0	0	3	0	0.07	0.07	0.14	0.07	0.14	Matches
2	Giuliano Simeone	MF	ar Argentina	23	2002	7	3	276	3.1	1	0	1	1	0	0	0	0	0.33	0.00	0.33	0.33	0.33	Matches
3	Gerónimo Rulli	GK	ar Argentina	33	1992	2	2	180	2.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
4	Cristian Romero	DF	ar Argentina	27	1998	15	15	1,260	14.0	0	0	0	0	0	0	4	0	0.00	0.00	0.00	0.00	0.00	Matches
5	Germán Pezzella	DF	ar Argentina	34	1991	2	1	135	1.5	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
6	Nehuén Pérez	DF	ar Argentina	25	2000	1	0	15	0.2	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
7	Nicolás Paz	MF	ar Argentina	21	2004	4	1	99	1.1	0	1	1	0	0	0	0	0	0.00	0.91	0.91	0.00	0.91	Matches
8	Leandro Paredes	MF	ar Argentina	31	1994	14	6	552	6.1	0	0	0	0	0	0	2	0	0.00	0.00	0.00	0.00	0.00	Matches
9	Exequiel Palacios	MF	ar Argentina	27	1998	9	1	210	2.3	0	3	3	0	0	0	1	0	0.00	1.29	1.29	0.00	1.29	Matches
10	Nicolás Otamendi	DF	ar Argentina	37	1988	17	17	1,452	16.1	3	0	3	3	0	0	2	1	0.19	0.00	0.19	0.19	0.19	Matches
11	Lucas Ocampos	FW,MF	ar Argentina	31	1994	1	0	1	0.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
12	Gonzalo Montiel	DF	ar Argentina	29	1997	6	4	278	3.1	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
13	Nahuel Molina	DF	ar Argentina	27	1998	16	14	1,260	14.0	0	1	1	0	0	0	1	0	0.00	0.07	0.07	0.00	0.07	Matches
14	Lionel Messi	FW,MF	ar Argentina	38	1987	12	10	944	10.5	8	3	11	8	0	0	0	0	0.76	0.29	1.05	0.76	1.05	Matches
15	Facundo Medina	DF	ar Argentina	26	1999	4	1	105	1.2	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
16	Franco Mastantuono	MF	ar Argentina	18	2007	3	1	98	1.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
17	Lucas Martínez Quarta	DF,MF	ar Argentina	29	1996	1	0	57	0.6	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
18	Lisandro Martínez	DF	ar Argentina	28	1998	3	2	159	1.8	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
19	Lautaro Martínez	FW	ar Argentina	28	1997	14	8	738	8.2	4	1	5	4	0	0	2	0	0.49	0.12	0.61	0.49	0.61	Matches
20	Emiliano Martínez	GK	ar Argentina	33	1992	16	16	1,440	16.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
21	Alexis Mac Allister	MF	ar Argentina	27	1998	14	13	1,041	11.6	2	0	2	2	0	0	1	0	0.17	0.00	0.17	0.17	0.17	Matches
22	Giovani Lo Celso	MF	ar Argentina	29	1996	9	2	251	2.8	0	2	2	0	0	0	1	0	0.00	0.72	0.72	0.00	0.72	Matches
23	Nicolás González	FW,MF	ar Argentina	27	1998	12	8	721	8.0	2	2	4	2	0	0	0	1	0.25	0.25	0.50	0.25	0.50	Matches
24	Alejandro Garnacho	MF	ar Argentina	21	2004	3	0	45	0.5	0	1	1	0	0	0	0	0	0.00	2.00	2.00	0.00	2.00	Matches
25	Juan Foyth	DF	ar Argentina	28	1998	3	0	73	0.8	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
26	Enzo Fernández	MF	ar Argentina	25	2001	15	15	1,267	14.1	2	3	5	2	0	0	2	1	0.14	0.21	0.36	0.14	0.36	Matches
27	Paulo Dybala	FW,MF	ar Argentina	32	1993	2	0	18	0.2	1	0	1	1	0	0	0	0	5.00	0.00	5.00	5.00	5.00	Matches
28	Ángel Di María	FW	ar Argentina	37	1988	4	1	170	1.9	0	2	2	0	0	0	0	0	0.00	1.06	1.06	0.00	1.06	Matches
29	Rodrigo De Paul	MF	ar Argentina	31	1994	17	17	1,353	15.0	0	1	1	0	0	0	2	0	0.00	0.07	0.07	0.00	0.07	Matches
30	Ángel Correa	FW,MF	ar Argentina	30	1995	4	0	28	0.3	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
31	Valentín Castellanos	FW	ar Argentina	27	1998	2	0	7	0.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
32	Leonardo Balerdi	DF	ar Argentina	27	1999	7	3	330	3.7	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
33	Julián Álvarez	FW	ar Argentina	26	2000	18	16	1,325	14.7	4	3	7	4	0	0	1	0	0.27	0.20	0.48	0.27	0.48	Matches
34	Thiago Almada	MF,FW	ar Argentina	24	2001	7	6	476	5.3	3	2	5	3	0	0	1	0	0.57	0.38	0.95	0.57	0.95	Matches
85	Estêvão Willian	MF,FW	br Brazil	18	2007	7	2	211	2.3	1	0	1	1	0	0	0	0	0.43	0.00	0.43	0.43	0.43	Matches
86	Wesley	DF	br Brazil	22	2003	3	2	192	2.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
87	Wendell	DF,MF	br Brazil	32	1993	1	0	17	0.2	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
88	Vitinho	DF	br Brazil	26	1999	1	1	60	0.7	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
89	Raphael Veiga	MF	br Brazil	30	1995	3	0	21	0.2	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
90	Vanderson	DF	br Brazil	24	2001	6	5	442	4.9	0	0	0	0	0	0	2	0	0.00	0.00	0.00	0.00	0.00	Matches
91	Caio Henrique Oliveira Silva	DF	br Brazil	28	1997	2	1	110	1.2	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
92	Sávio	MF	br Brazil	21	2004	6	4	309	3.4	0	1	1	0	0	0	0	0	0.00	0.29	0.29	0.00	0.29	Matches
93	Douglas Santos	DF	br Brazil	31	1994	1	1	90	1.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
94	Andrey Santos	MF	br Brazil	21	2004	3	1	110	1.2	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
95	Alex Sandro	DF	br Brazil	35	1991	2	2	163	1.8	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
96	Rodrygo	MF,FW	br Brazil	25	2001	12	12	964	10.7	3	0	3	3	0	0	1	0	0.28	0.00	0.28	0.28	0.28	Matches
97	Richarlison	FW	br Brazil	28	1997	8	5	385	4.3	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
98	Alexsandro Ribeiro	DF	br Brazil	26	1999	3	3	270	3.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
99	Raphinha	MF	br Brazil	29	1996	13	12	1,051	11.7	5	2	7	2	3	3	4	0	0.43	0.17	0.60	0.17	0.34	Matches
100	Matheus Pereira	FW,MF	br Brazil	29	1996	1	0	13	0.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
101	Andreas Pereira	MF	br Brazil	30	1996	2	0	23	0.3	1	0	1	1	0	0	0	0	3.91	0.00	3.91	3.91	3.91	Matches
102	Pepê	FW,MF	br Brazil	28	1997	1	0	10	0.1	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
103	Paulinho	FW,MF	br Brazil	25	2000	1	0	22	0.2	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
104	Lucas Paquetá	MF	br Brazil	28	1997	7	4	334	3.7	1	1	2	1	0	0	3	0	0.27	0.27	0.54	0.27	0.54	Matches
105	Leo Ortiz	DF	br Brazil	30	1996	2	0	46	0.5	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
106	Nino	DF	br Brazil	28	1997	1	0	45	0.5	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
107	Neymar	MF	br Brazil	33	1992	4	4	313	3.5	2	3	5	2	0	1	1	0	0.58	0.86	1.44	0.58	1.44	Matches
108	David Neres	FW,MF	br Brazil	28	1997	1	0	18	0.2	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
109	Murillo	DF	br Brazil	23	2002	1	1	45	0.5	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
110	Lucas Moura	FW,MF	br Brazil	33	1992	2	0	29	0.3	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
111	Gabriel Martinelli	MF	br Brazil	24	2001	9	4	408	4.5	1	0	1	1	0	0	1	0	0.22	0.00	0.22	0.22	0.22	Matches
112	Marquinhos	DF	br Brazil	31	1994	18	17	1,515	16.8	1	0	1	1	0	0	0	0	0.06	0.00	0.06	0.06	0.06	Matches
113	Gabriel Magalhães	DF	br Brazil	28	1997	14	14	1,225	13.6	1	0	1	1	0	0	2	0	0.07	0.00	0.07	0.07	0.07	Matches
114	Douglas Luiz	MF	br Brazil	27	1998	2	0	22	0.2	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
115	Jean Lucas	MF	br Brazil	27	1998	1	0	18	0.2	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
116	Renan Lodi	DF	br Brazil	27	1998	3	3	240	2.7	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
117	Samuel Lino	FW	br Brazil	26	1999	1	1	60	0.7	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
118	Vinicius Júnior	FW,MF	br Brazil	25	2000	11	11	893	9.9	2	1	3	2	0	1	2	0	0.20	0.10	0.30	0.20	0.30	Matches
119	Kaio Jorge	FW	br Brazil	24	2002	1	0	20	0.2	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
120	Joelinton	MF	br Brazil	29	1996	5	1	143	1.6	0	0	0	0	0	0	1	1	0.00	0.00	0.00	0.00	0.00	Matches
121	João Pedro	FW	br Brazil	24	2001	5	2	268	3.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
122	Igor Jesus	FW	br Brazil	24	2001	4	4	276	3.1	1	1	2	1	0	0	0	0	0.33	0.33	0.65	0.33	0.65	Matches
123	Gabriel Jesus	FW	br Brazil	28	1997	5	2	241	2.7	0	0	0	0	0	0	2	0	0.00	0.00	0.00	0.00	0.00	Matches
124	Roger Ibanez	DF	br Brazil	27	1998	1	0	7	0.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
125	Luiz Henrique	MF,FW	br Brazil	25	2001	8	2	292	3.2	2	2	4	2	0	0	0	0	0.62	0.62	1.23	0.62	1.23	Matches
126	Bruno Guimarães	MF	br Brazil	28	1997	17	16	1,313	14.6	1	2	3	1	0	0	4	0	0.07	0.14	0.21	0.07	0.21	Matches
127	João Gomes	MF	br Brazil	24	2001	2	0	51	0.6	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
128	Gerson	MF	br Brazil	28	1997	10	5	479	5.3	1	0	1	1	0	0	0	0	0.19	0.00	0.19	0.19	0.19	Matches
129	Endrick	FW	br Brazil	19	2006	6	1	146	1.6	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
130	Emerson	DF	br Brazil	27	1999	2	2	180	2.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
131	Éderson	MF	br Brazil	26	1999	1	0	7	0.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
132	Ederson	GK	br Brazil	32	1993	8	8	720	8.0	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
133	Danilo	DF	br Brazil	34	1991	8	7	577	6.4	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
134	Matheus Cunha	MF	br Brazil	26	1999	7	2	243	2.7	1	1	2	1	0	0	1	0	0.37	0.37	0.74	0.37	0.74	Matches
135	Yan Couto	DF	br Brazil	23	2002	2	1	121	1.3	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
136	Casemiro	MF	br Brazil	33	1992	7	7	593	6.6	0	0	0	0	0	0	2	0	0.00	0.00	0.00	0.00	0.00	Matches
137	Fabrício Bruno	DF	br Brazil	29	1996	1	1	90	1.0	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
138	Lucas Beraldo	DF	br Brazil	22	2003	1	0	17	0.2	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
139	Bento	GK	br Brazil	26	1999	2	1	103	1.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
140	Carlos Augusto	DF	br Brazil	27	1999	2	2	162	1.8	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
141	Guilherme Arana	DF	br Brazil	28	1997	6	5	446	5.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
142	André	MF	br Brazil	24	2001	10	6	524	5.8	0	0	0	0	0	0	2	0	0.00	0.00	0.00	0.00	0.00	Matches
143	Alisson	GK	br Brazil	33	1992	9	9	797	8.9	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
144	Abner	DF	br Brazil	25	2000	4	4	320	3.6	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
200	Camilo Vargas	GK	co Colombia	36	1989	14	14	1,256	14.0	0	0	0	0	0	0	3	1	0.00	0.00	0.00	0.00	0.00	Matches
201	Mateus Uribe	MF	co Colombia	34	1991	7	6	414	4.6	1	0	1	1	0	0	0	0	0.22	0.00	0.22	0.22	0.22	Matches
202	Luis Sinisterra	FW	co Colombia	26	1999	6	1	139	1.5	1	1	2	1	0	0	1	0	0.65	0.65	1.29	0.65	1.29	Matches
203	Davinson Sánchez	DF	co Colombia	29	1996	12	11	1,042	11.6	1	0	1	1	0	0	3	0	0.09	0.00	0.09	0.09	0.09	Matches
204	James Rodríguez	MF,FW	co Colombia	34	1991	18	14	1,239	13.8	3	7	10	2	1	1	0	0	0.22	0.51	0.73	0.15	0.65	Matches
205	Richard Ríos	MF	co Colombia	25	2000	15	10	986	11.0	0	1	1	0	0	0	1	0	0.00	0.09	0.09	0.00	0.09	Matches
206	Juan Quintero	MF	co Colombia	33	1993	6	1	181	2.0	2	2	4	2	0	0	1	0	0.99	0.99	1.99	0.99	1.99	Matches
207	Daniel Muñoz	DF	co Colombia	29	1996	13	13	1,170	13.0	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
208	Yerson Mosquera	DF	co Colombia	24	2001	4	2	175	1.9	1	0	1	1	0	0	1	0	0.51	0.00	0.51	0.51	0.51	Matches
