 						Playing	Time			Performance						 	Per 90 Minutes	
Rk 	Player 	Pos 	Squad 	Age 	Born 	MP 	Starts 	Min 	90s 	Gls 	Ast 	G+A 	G-PK 	PK 	PKatt 	CrdY 	CrdR 	Gls 	Ast 	G+A 	G-PK 	G+A-PK 	Matches
81	Chris Wood	FW	nz New Zealand	34	1991	5	5	326	3.6	9	0	9	9	0	0	0	0	2.48	0.00	2.48	2.48	2.48	Matches
82	Ben Waine	FW	nz New Zealand	24	2001	4	0	99	1.1	2	1	3	1	1	2	0	0	1.82	0.91	2.73	0.91	1.82	Matches
83	Francis de Vries	DF	nz New Zealand	31	1994	3	1	154	1.7	1	2	3	1	0	0	0	0	0.58	1.17	1.75	0.58	1.75	Matches
84	Sam Sutton	DF	nz New Zealand	24	2001	1	0	27	0.3	0	1	1	0	0	0	0	0	0.00	3.33	3.33	0.00	3.33	Matches
85	Finn Surman	DF	nz New Zealand	22	2003	1	1	90	1.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
86	Marko Stamenic	MF	nz New Zealand	23	2002	5	5	421	4.7	1	1	2	1	0	0	0	0	0.21	0.21	0.43	0.21	0.43	Matches
87	Sarpreet Singh	MF	nz New Zealand	26	1999	4	3	232	2.6	2	3	5	2	0	0	0	0	0.78	1.16	1.94	0.78	1.94	Matches
88	Alex Rufer	MF	nz New Zealand	29	1996	3	2	201	2.2	0	3	3	0	0	0	0	0	0.00	1.34	1.34	0.00	1.34	Matches
89	Storm Roux	DF	nz New Zealand	33	1993	4	2	183	2.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
90	Logan Rogerson	MF	nz New Zealand	27	1998	3	1	81	0.9	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
91	Nando Pijnaker	DF	nz New Zealand	26	1999	2	2	180	2.0	0	1	1	0	0	0	0	0	0.00	0.50	0.50	0.00	0.50	Matches
92	Tim Payne	DF	nz New Zealand	32	1994	3	3	240	2.7	1	4	5	1	0	0	0	0	0.37	1.50	1.87	0.37	1.87	Matches
93	Alex Paulsen	GK	nz New Zealand	23	2002	1	1	90	1.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
94	Ben Old	MF	nz New Zealand	23	2002	1	1	71	0.8	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
95	Callum McCowatt	MF	nz New Zealand	26	1999	4	3	196	2.2	2	0	2	2	0	0	0	0	0.92	0.00	0.92	0.92	0.92	Matches
96	Eli Just	MF	nz New Zealand	25	2000	5	2	238	2.6	4	0	4	4	0	0	0	0	1.51	0.00	1.51	1.51	1.51	Matches
97	Liam Gillion	FW	nz New Zealand	23	2002	2	0	34	0.4	0	1	1	0	0	0	0	0	0.00	2.65	2.65	0.00	2.65	Matches
98	Matt Garbett	MF	nz New Zealand	23	2002	5	5	355	3.9	1	5	6	1	0	0	0	0	0.25	1.27	1.52	0.25	1.52	Matches
99	Max Crocombe	GK	nz New Zealand	32	1993	4	4	360	4.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
100	Liberato Cacace	DF	nz New Zealand	25	2000	5	4	344	3.8	0	2	2	0	0	0	0	0	0.00	0.52	0.52	0.00	0.52	Matches
101	Michael Boxall	DF	nz New Zealand	37	1988	3	3	270	3.0	1	0	1	1	0	0	0	0	0.33	0.00	0.33	0.33	0.33	Matches
102	Tyler Bindon	DF	nz New Zealand	21	2005	4	4	360	4.0	3	0	3	3	0	0	1	0	0.75	0.00	0.75	0.75	0.75	Matches
103	Joe Bell	MF	nz New Zealand	26	1999	4	3	299	3.3	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
104	Kosta Barbarouses	FW,MF	nz New Zealand	35	1990	4	0	99	1.1	2	1	3	2	0	0	0	0	1.82	0.91	2.73	1.82	2.73	Matches
