 						Playing Time		 	Performance						 	Per 90 Minutes	
Rk 	Player 	Pos 	Squad 	Age 	Born 	MP 	Starts 	Min 	90s 	Gls 	Ast 	G+A 	G-PK 	PK 	PKatt 	CrdY 	CrdR 	Gls 	Ast 	G+A 	G-PK 	G+A-PK 	Matches
80	Nikolaus Wurmbrand	MF	at Austria	20	2006	2	0	20	0.2	1	1	2	1	0	0	0	0	4.50	4.50	9.00	4.50	9.00	Matches
81	Maximilian Wöber	DF	at Austria	27	1998	1	1	68	0.8	0	1	1	0	0	0	0	0	0.00	1.32	1.32	0.00	1.32	Matches
82	Patrick Wimmer	MF,DF	at Austria	24	2001	5	3	220	2.4	0	0	0	0	0	0	2	1	0.00	0.00	0.00	0.00	0.00	Matches
83	Nicolas Seiwald	MF	at Austria	24	2001	8	8	706	7.8	0	1	1	0	0	0	0	0	0.00	0.13	0.13	0.00	0.13	Matches
84	Alessandro Schöpf	MF	at Austria	31	1994	3	0	28	0.3	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
85	Romano Schmid	MF	at Austria	26	2000	8	5	518	5.8	1	2	3	1	0	0	1	0	0.17	0.35	0.52	0.17	0.52	Matches
86	Xaver Schlager	MF	at Austria	28	1997	5	4	266	3.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
87	Alexander Schlager	GK	at Austria	29	1996	5	5	450	5.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
88	Marcel Sabitzer	MF	at Austria	31	1994	8	8	700	7.8	3	3	6	2	1	1	1	0	0.39	0.39	0.77	0.26	0.64	Matches
89	Leopold Querfeld	DF	at Austria	22	2003	1	0	45	0.5	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
90	Alexander Prass	DF	at Austria	24	2001	3	1	117	1.3	0	1	1	0	0	0	0	0	0.00	0.77	0.77	0.00	0.77	Matches
91	Stefan Posch	DF	at Austria	28	1997	7	4	416	4.6	2	2	4	2	0	0	2	0	0.43	0.43	0.87	0.43	0.87	Matches
92	Patrick Pentz	GK	at Austria	29	1997	3	3	225	2.5	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
93	Phillipp Mwene	DF	at Austria	32	1994	5	5	402	4.5	0	0	0	0	0	0	2	0	0.00	0.00	0.00	0.00	0.00	Matches
94	Philipp Lienhart	DF	at Austria	29	1996	7	7	585	6.5	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
95	Tobias Lawal	GK	at Austria	25	2000	1	0	45	0.5	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
96	Konrad Laimer	MF,DF	at Austria	28	1997	8	8	675	7.5	2	1	3	2	0	0	1	0	0.27	0.13	0.40	0.27	0.40	Matches
97	Mathias Honsak	DF	at Austria	29	1996	1	1	90	1.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
98	Marco Grüll	FW,MF	at Austria	27	1998	2	0	29	0.3	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
99	Florian Grillitsch	DF,MF	at Austria	30	1995	5	0	85	0.9	0	1	1	0	0	0	1	0	0.00	1.06	1.06	0.00	1.06	Matches
100	Michael Gregoritsch	FW,MF	at Austria	31	1994	8	5	419	4.7	4	0	4	4	0	0	1	0	0.86	0.00	0.86	0.86	0.86	Matches
101	Marco Friedl	DF	at Austria	27	1998	3	1	124	1.4	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
102	Raul Florucz	FW	at Austria	24	2001	2	0	33	0.4	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
103	Kevin Danso	DF	at Austria	27	1998	6	3	327	3.6	0	2	2	0	0	0	0	0	0.00	0.55	0.55	0.00	0.55	Matches
104	Christoph Baumgartner	MF	at Austria	26	1999	7	7	558	6.2	1	0	1	1	0	0	1	0	0.16	0.00	0.16	0.16	0.16	Matches
105	Thierno Ballo	FW,MF	at Austria	24	2002	1	0	45	0.5	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
106	Marko Arnautović	FW	at Austria	36	1989	7	5	426	4.7	8	1	9	7	1	2	0	0	1.69	0.21	1.90	1.48	1.69	Matches
107	David Alaba	DF	at Austria	33	1992	4	4	297	3.3	0	1	1	0	0	0	2	0	0.00	0.30	0.30	0.00	0.30	Matches
137	Nikola Vasilj	GK	ba Bosnia-Herzegovina	30	1995	10	10	960	10.7	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
