 				Playing Time		 	Performance						 	Per 90 Minutes
Squad 	# Pl 	Age 	Poss 	MP 	Starts 	Min 	90s 	Gls 	Ast 	G+A 	G-PK 	PK 	PKatt 	CrdY 	CrdR 	Gls 	Ast 	G+A 	G-PK 	G+A-PK
au Australia	47	29.5	49.5	16	176	1,440	16.0	35	20	55	32	3	4	22	1	2.19	1.25	3.44	2.00	3.25
ir IR Iran	43	30.9	55.3	16	176	1,440	16.0	35	22	57	33	2	3	24	3	2.19	1.37	3.56	2.06	3.44
iq Iraq	48	27.7	45.7	20	220	1,800	20.0	28	16	44	25	3	5	27	3	1.40	0.80	2.20	1.25	2.05
jp Japan	48	28.1	67.4	16	165	1,350	15.0	48	40	88	46	2	2	8	0	3.20	2.67	5.87	3.07	5.73
jo Jordan	37	29.5	40.6	16	176	1,440	16.0	32	21	53	28	4	5	21	0	2.00	1.31	3.31	1.75	3.06
kr Korea Republic	52	30.3	72.9	16	176	1,440	16.0	39	32	71	36	3	3	16	0	2.44	2.00	4.44	2.25	4.25
qa Qatar	56	29.2	56.9	18	198	1,620	18.0	35	25	60	31	4	4	32	2	1.94	1.39	3.33	1.72	3.11
sa Saudi Arabia	49	28.4	59.8	18	198	1,620	18.0	22	16	38	20	2	5	30	2	1.22	0.89	2.11	1.11	2.00
uz Uzbekistan	29	29.2	52.3	16	176	1,440	16.0	27	23	50	26	1	2	23	1	1.69	1.44	3.12	1.62	3.06
au vs Australia	47	28.6	50.5	16	176	1,440	16.0	5	1	6	5	0	2	20	0	0.31	0.06	0.37	0.31	0.37
ir vs IR Iran	43	28.6	44.7	16	176	1,440	16.0	11	4	15	10	1	1	24	1	0.69	0.25	0.94	0.62	0.87
iq vs Iraq	48	28.8	54.3	20	220	1,800	20.0	13	11	24	13	0	0	55	4	0.65	0.55	1.20	0.65	1.20
jp vs Japan	48	28.9	32.6	16	165	1,350	15.0	2	2	4	2	0	0	20	0	0.13	0.13	0.27	0.13	0.27
jo vs Jordan	37	29.0	59.4	16	176	1,440	16.0	12	11	23	11	1	1	23	0	0.75	0.69	1.44	0.69	1.37
kr vs Korea Republic	52	29.8	27.1	16	176	1,440	16.0	7	5	12	7	0	0	40	1	0.44	0.31	0.75	0.44	0.75
qa vs Qatar	56	28.7	43.1	18	198	1,620	18.0	28	19	47	26	2	2	48	3	1.56	1.06	2.61	1.44	2.50
sa vs Saudi Arabia	49	28.5	40.3	18	198	1,620	18.0	12	7	19	10	2	2	42	2	0.67	0.39	1.06	0.56	0.94
uz vs Uzbekistan	29	29.3	47.7	16	176	1,440	16.0	11	11	22	11	0	2	23	3	0.69	0.69	1.37	0.69	1.37
