Squad 	# Pl 	Age 	Poss 	MP 	Starts 	Min 	90s 	Gls 	Ast 	G+A 	G-PK 	PK 	PKatt 	CrdY 	CrdR 	Gls 	Ast 	G+A 	G-PK 	G+A-PK
dz Algeria	41	28.6		10	110	900	10.0	22	14	36	20	2	2	16	0	2.20	1.40	3.60	2.00	3.40
cv Cape Verde	36	30.7		10	110	900	10.0	16	11	27	16	0	1	12	0	1.60	1.10	2.70	1.60	2.70
cd Congo DR	33	29.4		12	132	1,110	12.3	17	15	32	17	0	0	11	0	1.38	1.22	2.59	1.38	2.59
ci Côte d'Ivoire	42	27.4		10	110	900	10.0	25	18	43	21	4	4	10	0	2.50	1.80	4.30	2.10	3.90
eg Egypt	37	30.5		10	110	900	10.0	20	15	35	17	3	3	14	0	2.00	1.50	3.50	1.70	3.20
gh Ghana	45	28.4		10	110	900	10.0	23	18	41	21	2	2	11	0	2.30	1.80	4.10	2.10	3.90
ma Morocco	35	28.3		8	88	720	8.0	21	14	35	19	2	3	11	0	2.62	1.75	4.37	2.37	4.12
sn Senegal	32	29.1		10	110	900	10.0	21	14	35	19	2	2	10	0	2.10	1.40	3.50	1.90	3.30
za South Africa	40	28.9		10	110	900	10.0	16	11	27	16	0	0	15	1	1.60	1.10	2.70	1.60	2.70
tn Tunisia	41	29.4		10	110	900	10.0	22	10	32	17	5	5	19	0	2.20	1.00	3.20	1.70	2.70

dz vs Algeria	41	28.6		10	110	900	10.0	8	2	10	8	0	0	20	0	0.80	0.20	1.00	0.80	1.00
cv vs Cape Verde	36	28.4		10	110	900	10.0	7	3	10	6	1	1	22	0	0.70	0.30	1.00	0.60	0.90
cd vs Congo DR	33	28.4		12	132	1,110	12.3	6	3	9	6	0	0	16	0	0.49	0.24	0.73	0.49	0.73
ci vs Côte d'Ivoire	42	27.7		10	110	900	10.0	0	0	0	0	0	0	12	0	0.00	0.00	0.00	0.00	0.00
eg vs Egypt	37	27.0		10	110	900	10.0	2	1	3	2	0	0	17	2	0.20	0.10	0.30	0.20	0.30
gh vs Ghana	45	27.6		10	110	900	10.0	6	3	9	6	0	0	15	0	0.60	0.30	0.90	0.60	0.90
ma vs Morocco	35	27.4		8	88	720	8.0	2	1	3	2	0	0	23	2	0.25	0.12	0.37	0.25	0.37
sn vs Senegal	32	28.4		10	110	900	10.0	3	3	6	3	0	0	17	0	0.30	0.30	0.60	0.30	0.60
za vs South Africa	40	28.5		10	110	900	10.0	6	6	12	6	0	0	19	1	0.60	0.60	1.20	0.60	1.20
tn vs Tunisia	41	27.8		10	110	900	10.0	0	0	0	0	0	1	23	1	0.00	0.00	0.00	0.00	0.00
