			 	Playing Time 			Performance 							Per 90 Minutes
Squad 	# Pl 	Age 	Poss 	MP 	Starts 	Min 	90s 	Gls 	Ast 	G+A 	G-PK 	PK 	PKatt 	CrdY 	CrdR 	Gls 	Ast 	G+A 	G-PK 	G+A-PK
at Austria	28	29.1	64.3	8	88	720	8.0	22	17	39	20	2	3	15	1	2.75	2.12	4.87	2.50	4.62
be Belgium	29	27.9	68.1	8	88	720	8.0	29	20	49	25	4	4	9	0	3.62	2.50	6.12	3.12	5.63
ba Bosnia-Herzegovina	31	26.9	49.9	10	110	960	10.7	18	11	29	18	0	0	28	0	1.69	1.03	2.72	1.69	2.72
hr Croatia	32	29.0	70.3	8	88	720	8.0	25	18	43	22	3	4	6	0	3.12	2.25	5.37	2.75	5.00
cz Czechia	35	28.5	55.2	10	110	960	10.7	22	18	40	21	1	1	9	0	2.06	1.69	3.75	1.97	3.66
eng England	32	27.3	74.5	8	88	720	8.0	20	14	34	18	2	2	6	0	2.50	1.75	4.25	2.25	4.00
fr France	30	26.8	68.5	6	66	540	6.0	15	13	28	13	2	2	6	1	2.50	2.17	4.67	2.17	4.33
de Germany	30	28.2	73.2	6	66	540	6.0	16	11	27	15	1	1	8	0	2.67	1.83	4.50	2.50	4.33
nl Netherlands	29	27.9	66.6	8	88	720	8.0	27	18	45	22	5	5	6	0	3.38	2.25	5.63	2.75	5.00
no Norway	27	27.3	57.6	8	88	720	8.0	35	29	64	34	1	2	8	0	4.37	3.62	8.00	4.25	7.88
pt Portugal	26	28.0	71.3	6	66	540	6.0	20	10	30	17	3	4	8	1	3.33	1.67	5.00	2.83	4.50
sct Scotland	24	29.4	44.8	6	66	540	6.0	12	7	19	12	0	0	12	0	2.00	1.17	3.17	2.00	3.17
es Spain	32	26.8	70.5	6	66	540	6.0	20	15	35	18	2	3	4	0	3.33	2.50	5.83	3.00	5.50
se Sweden	33	27.0	50.5	8	88	720	8.0	10	7	17	9	1	1	16	0	1.25	0.87	2.12	1.13	2.00
ch Switzerland	23	29.4	60.8	6	66	540	6.0	14	12	26	12	2	2	4	0	2.33	2.00	4.33	2.00	4.00
tr Türkiye	29	27.1	54.8	8	88	720	8.0	17	13	30	16	1	1	20	1	2.12	1.62	3.75	2.00	3.62
at vs Austria	28	27.2	35.8	8	88	720	8.0	4	4	8	4	0	0	17	0	0.50	0.50	1.00	0.50	1.00
be vs Belgium	29	28.1	31.9	8	88	720	8.0	7	5	12	6	1	1	22	1	0.87	0.62	1.50	0.75	1.37
ba vs Bosnia-Herzegovina	31	27.5	50.1	10	110	960	10.7	9	4	13	8	1	1	26	5	0.84	0.37	1.22	0.75	1.13
hr vs Croatia	32	27.9	29.8	8	88	720	8.0	4	2	6	4	0	0	12	1	0.50	0.25	0.75	0.50	0.75
cz vs Czechia	35	28.2	44.8	10	110	960	10.7	11	7	18	8	3	3	23	0	1.03	0.66	1.69	0.75	1.41
eng vs England	32	27.8	25.5	8	88	720	8.0	0	0	0	0	0	0	11	1	0.00	0.00	0.00	0.00	0.00
fr vs France	30	27.0	31.5	6	66	540	6.0	4	2	6	4	0	0	9	0	0.67	0.33	1.00	0.67	1.00
de vs Germany	30	27.5	26.8	6	66	540	6.0	3	3	6	3	0	0	13	1	0.50	0.50	1.00	0.50	1.00
nl vs Netherlands	29	28.2	33.4	8	88	720	8.0	4	3	7	4	0	0	16	0	0.50	0.37	0.87	0.50	0.87
no vs Norway	27	27.3	42.4	8	88	720	8.0	4	4	8	4	0	0	8	0	0.50	0.50	1.00	0.50	1.00
pt vs Portugal	26	27.4	28.7	6	66	540	6.0	7	7	14	7	0	0	14	0	1.17	1.17	2.33	1.17	2.33
sct vs Scotland	24	27.0	55.2	6	66	540	6.0	7	5	12	6	1	1	16	2	1.17	0.83	2.00	1.00	1.83
es vs Spain	32	27.2	29.5	6	66	540	6.0	2	1	3	2	0	0	5	0	0.33	0.17	0.50	0.33	0.50
se vs Sweden	33	27.9	49.5	8	88	720	8.0	15	11	26	13	2	2	17	1	1.87	1.37	3.25	1.62	3.00
ch vs Switzerland	23	27.3	39.2	6	66	540	6.0	2	0	2	2	0	0	10	0	0.33	0.00	0.33	0.33	0.33
tr vs Türkiye	29	26.7	45.3	8	88	720	8.0	12	10	22	12	0	0	13	0	1.50	1.25	2.75	1.50	2.75
