player_id,original_name,alternative_names,resolved_name
1,Alistair ⁠Johnston,,
2,Ayoub Al Alawi,,
3,Homan Al Amin,,
4,Pedro Miguel,"[""Pedro Miguel Carvalho Deus Correia""]",Pedro Miguel Carvalho Deus Correia
5,Al Brake,,
6,Ahmed Fathy,,
7,Ahmed Alaa,,
8,Hassan Al Haydos,,
9,Youssef Abdulrrazaq,,
10,Bouaddi,"[""Ayyoub Bouaddi""]",Ayyoub Bouaddi
11,Ayoube Amaimouni,,
12,Josué Duverger,,
13,JK Duverne,"[""Jean-Kévin Duverne""]",Jean-Kévin Duverne
14,Jean-Jacques Danley,,
15,Pierre Woodenski,,
16,Alejandro Zendejas,,
17,Gio Reyna,"[""Gonzalo Reyna"", ""Giovanni Alejandro Reyna""]",
18,Juan Cáceres,,
19,Alejandro Romero Gamarra,,
20,Paul Okon Jr,,
21,Cameron Devlin,,
22,Mathew Leckie,,
23,Mohamed Toure,,
24,Mohamed Hadj-Mahmoud,,
25,Mostafa Shobeir,,
26,Tarek Alaa,,
27,Ahmed Fattouh,,
28,Marwan Attia,,
29,Nabil Emad Dunga,,
30,Ahmed Sayed Zizo,,
31,Haitham Hassan,,
32,Hossein Hosseini,,
33,Saeid Ezatolahi,,
34,Dennis Dargahi,,
35,Nico Williams, "[[""Nicholas Williams Arthuer""]]",
36,Josimar Dias “Vozinha”,,
37,João Paulo Fernandes,,
38,Roberto Lopes “Pico”,,
39,Ianique Tavares “Stopira”,,
40,Edilson Borges “Diney”,,
41,Kevin Pina,,
42,Mohammed Al-Shamat,,
43,Alaa Al-Hajji,,
44,Maximiliano Araújo, "[[""Maxi Araújo"", ""Maximiliano Javier Araújo Vilches""]]"
45,Rocky ⁠Bushiri,,
46,Nicolás González, "[[""Nico González"", ""Nicolás Iván González""]]"
47,Abdelatif Ramdane,,
48,Yacine Titraoui,,
49,Noor Bani Attieh,,
50,Saleem Obeid,,
51,Mousa Al-Tamari,,
52,Ouda Al-Fakhouri,,
53,Mohammad Abu Zraiq,,
54,Nematov Abduvohid,,
55,Alijonov Khojiakbar,,
56,Karimov Behruzjon,,
57,Ulmasaliyev Avazbek,,
58,Xamrobekov Odiljon,,
59,Ganiev Azizjon,,
60,Amonov Azizbek,,
61,Carlos Gómez,,
62,Juan Camilo Hernández,,
63,Salomon Agbasi,,
70,Lawrence Ati-Zigi,,
64,Kojo Oppong Preprah,,
65,Alexander Djiku,,
66,Thomas Partey,,
67,Kamal Deen Sulemana,,
68,Antoine Semenyo,,
69,Tomás Rodríguez,,
